SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77391100,CITY CELLARS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77465900,WHERE THE BUFFALO ROAM SALOON,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77485500,URBAN CELLARS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77500800,WINE & BEYOND AT SAGE HILL CROSSING,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77529300,LIQUOR BANK HAWKWOOD,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77541300,SOBEYS LIQUOR (COLISEUM),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77622400,BOW TRAIL LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77718700,CRAFT BEER NATION,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77728800,SAFEWAY LIQUOR SHAWNESSY,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77816200,WILLOW PARK WINES & SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77879300,CORK'N BOTTLE BEER WINE & SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77958000,WINE & BEYOND AT LETHBRIDGE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77993900,OLDE TOWNE LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78011100,ALBERTA BEER EXCHANGE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78038200,WINE AND BEYOND AT RED DEER,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78049300,ACE LIQUOR DISCOUNTER AT OKOTOKS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78086800,TIMBER RIDGE LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78107900,BSW LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78124100,LUMINOUS LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78134700,GLENORA FINE WINES & SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,78228400,VIVO LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,75432900,LAKE LOUISE LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,75480200,SOBEYS LIQUOR (LAKELAND),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76488200,LIQUOR HUTCH,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76634500,LIQUOR DEPOT AT CAPILANO,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76650100,LIQUOR DEPOT AT ALTADORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76843900,LITTLE GUY LIQUOR CO.,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,77187800,WINE & BEYOND AT WINDERMERE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,77879300,CORK'N BOTTLE BEER WINE & SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,78020100,3 PEAKS LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,78218400,LIQUOR POINT,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,77190700,WINE & BEYOND AT EMERALD HILLS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,77996300,ACE LIQUOR DISCOUNTER AT CANMORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,4,CS,78049100,ACE LIQUOR DISCOUNTER AT CANMORE SOUTH,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,5,CS,77364100,SPIRITS WEST,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,7,CS,77996300,ACE LIQUOR DISCOUNTER AT CANMORE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,10,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,11,CS,77879300,CORK'N BOTTLE BEER WINE & SPIRITS,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,12,CS,77879300,CORK'N BOTTLE BEER WINE & SPIRITS,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,13,CS,77816200,WILLOW PARK WINES & SPIRITS,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,19,CS,77816200,WILLOW PARK WINES & SPIRITS,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75413400,SOBEYS LIQUOR (SPRUCE GROVE),75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75414100,ROYAL SPIRITS & WINES,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75891200,BRIDGELAND LIQUOR STORE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75910100,LIQUOR DEN,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76052600,CO-OP WINE SPIRITS BEER - AIRDRIE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76129800,CALGARY CO-OP WINES & SPIRITS -,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76150100,SOBEYS WESTERN CELLARS,75.66,12.61
